"participant","vis","rdirection","sign","visandsign","rbase","approach","jnd","condition"
"hsj2yigu","stackedline","positive",1,"stackedlinepositive",0.8,"above",0.113333333,"stackedlinepositive-0.8-above"
"hsj2yigu","stackedline","positive",1,"stackedlinepositive",0.5,"below",0.47,"stackedlinepositive-0.5-below"
"hsj2yigu","stackedline","positive",1,"stackedlinepositive",0.8,"below",0.468333333,"stackedlinepositive-0.8-below"
"hsj2yigu","stackedline","positive",1,"stackedlinepositive",0.5,"above",0.38,"stackedlinepositive-0.5-above"
"hsku2a4p","donut","negative",-1,"donutnegative",0.5,"below",0.158333333,"donutnegative-0.5-below"
"hsku2a4p","donut","negative",-1,"donutnegative",0.8,"below",0.06,"donutnegative-0.8-below"
"hsku2a4p","donut","negative",-1,"donutnegative",0.5,"above",0.12,"donutnegative-0.5-above"
"hsku2a4p","donut","negative",-1,"donutnegative",0.8,"above",0.073333333,"donutnegative-0.8-above"
"hsc3qpfx","stackedarea","negative",-1,"stackedareanegative",0.7,"below",0.086666667,"stackedareanegative-0.7-below"
"hsc3qpfx","stackedarea","negative",-1,"stackedareanegative",0.7,"above",0.076666667,"stackedareanegative-0.7-above"
"hsc3qpfx","stackedarea","negative",-1,"stackedareanegative",0.4,"below",0.034166667,"stackedareanegative-0.4-below"
"hsc3qpfx","stackedarea","negative",-1,"stackedareanegative",0.4,"above",0.16,"stackedareanegative-0.4-above"
"hs4wfhfl","stackedbar","positive",1,"stackedbarpositive",0.3,"below",0.13,"stackedbarpositive-0.3-below"
"hs4wfhfl","stackedbar","positive",1,"stackedbarpositive",0.6,"above",0.38625,"stackedbarpositive-0.6-above"
"hs4wfhfl","stackedbar","positive",1,"stackedbarpositive",0.6,"below",0.446666667,"stackedbarpositive-0.6-below"
"hs4wfhfl","stackedbar","positive",1,"stackedbarpositive",0.3,"above",0.605416667,"stackedbarpositive-0.3-above"
"hrini1rn","scatterplot","positive",1,"scatterplotpositive",0.6,"above",0.035833333,"scatterplotpositive-0.6-above"
"hrini1rn","scatterplot","positive",1,"scatterplotpositive",0.3,"below",0.288333333,"scatterplotpositive-0.3-below"
"hrini1rn","scatterplot","positive",1,"scatterplotpositive",0.3,"above",0.138333333,"scatterplotpositive-0.3-above"
"hrini1rn","scatterplot","positive",1,"scatterplotpositive",0.6,"below",0.481666667,"scatterplotpositive-0.6-below"
"hsxvadqf","ordered_line","positive",1,"ordered_linepositive",0.7,"below",0.14,"ordered_linepositive-0.7-below"
"hsxvadqf","ordered_line","positive",1,"ordered_linepositive",0.4,"below",0.11,"ordered_linepositive-0.4-below"
"hsxvadqf","ordered_line","positive",1,"ordered_linepositive",0.4,"above",0.213333333,"ordered_linepositive-0.4-above"
"hsxvadqf","ordered_line","positive",1,"ordered_linepositive",0.7,"above",0.116666667,"ordered_linepositive-0.7-above"
"hscf4l1q","line","negative",-1,"linenegative",0.8,"above",0.1675,"linenegative-0.8-above"
"hscf4l1q","line","negative",-1,"linenegative",0.5,"above",0.479583333,"linenegative-0.5-above"
"hscf4l1q","line","negative",-1,"linenegative",0.5,"below",0.461666667,"linenegative-0.5-below"
"hscf4l1q","line","negative",-1,"linenegative",0.8,"below",0.175,"linenegative-0.8-below"
"hskv42en","donut","positive",1,"donutpositive",0.3,"above",0.38,"donutpositive-0.3-above"
"hskv42en","donut","positive",1,"donutpositive",0.3,"below",0.508333333,"donutpositive-0.3-below"
"hskv42en","donut","positive",1,"donutpositive",0.6,"below",0.185,"donutpositive-0.6-below"
"hskv42en","donut","positive",1,"donutpositive",0.6,"above",0.3875,"donutpositive-0.6-above"
"hrin8far","scatterplot","positive",1,"scatterplotpositive",0.6,"below",0.073333333,"scatterplotpositive-0.6-below"
"hrin8far","scatterplot","positive",1,"scatterplotpositive",0.3,"above",0.131666667,"scatterplotpositive-0.3-above"
"hrin8far","scatterplot","positive",1,"scatterplotpositive",0.3,"below",0.103333333,"scatterplotpositive-0.3-below"
"hrin8far","scatterplot","positive",1,"scatterplotpositive",0.6,"above",0.046666667,"scatterplotpositive-0.6-above"
"hs7uzt58","stackedline","negative",-1,"stackedlinenegative",0.8,"below",0.068333333,"stackedlinenegative-0.8-below"
"hs7uzt58","stackedline","negative",-1,"stackedlinenegative",0.8,"above",0.03625,"stackedlinenegative-0.8-above"
"hs7uzt58","stackedline","negative",-1,"stackedlinenegative",0.5,"below",0.125,"stackedlinenegative-0.5-below"
"hs7uzt58","stackedline","negative",-1,"stackedlinenegative",0.5,"above",0.153333333,"stackedlinenegative-0.5-above"
"hrsk5q2q","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.4,"below",0.083333333,"parallelCoordinatesnegative-0.4-below"
"hrsk5q2q","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.4,"above",0.116666667,"parallelCoordinatesnegative-0.4-above"
"hrsk5q2q","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.7,"below",0.035833333,"parallelCoordinatesnegative-0.7-below"
"hrsk5q2q","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.7,"above",0.051666667,"parallelCoordinatesnegative-0.7-above"
"hskp2i7w","donut","negative",-1,"donutnegative",0.3,"above",0.428333333,"donutnegative-0.3-above"
"hskp2i7w","donut","negative",-1,"donutnegative",0.6,"above",0.208333333,"donutnegative-0.6-above"
"hskp2i7w","donut","negative",-1,"donutnegative",0.6,"below",0.12,"donutnegative-0.6-below"
"hskp2i7w","donut","negative",-1,"donutnegative",0.3,"below",0.101666667,"donutnegative-0.3-below"
"hrjxgzrx","scatterplot","negative",-1,"scatterplotnegative",0.3,"above",0.11,"scatterplotnegative-0.3-above"
"hrjxgzrx","scatterplot","negative",-1,"scatterplotnegative",0.6,"above",0.081666667,"scatterplotnegative-0.6-above"
"hrjxgzrx","scatterplot","negative",-1,"scatterplotnegative",0.6,"below",0.046666667,"scatterplotnegative-0.6-below"
"hrjxgzrx","scatterplot","negative",-1,"scatterplotnegative",0.3,"below",0.267083333,"scatterplotnegative-0.3-below"
"hrqfen7i","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.6,"above",0.058333333,"parallelCoordinatesnegative-0.6-above"
"hrqfen7i","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.3,"below",0.16,"parallelCoordinatesnegative-0.3-below"
"hrqfen7i","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.6,"below",0.042916667,"parallelCoordinatesnegative-0.6-below"
"hrqfen7i","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.3,"above",0.538333333,"parallelCoordinatesnegative-0.3-above"
"hs1wxxha","line","positive",1,"linepositive",0.4,"above",0.433333333,"linepositive-0.4-above"
"hs1wxxha","line","positive",1,"linepositive",0.4,"below",0.526666667,"linepositive-0.4-below"
"hs1wxxha","line","positive",1,"linepositive",0.7,"below",0.171666667,"linepositive-0.7-below"
"hs1wxxha","line","positive",1,"linepositive",0.7,"above",0.146666667,"linepositive-0.7-above"
"hsj6a0kv","stackedarea","positive",1,"stackedareapositive",0.3,"below",0.611666667,"stackedareapositive-0.3-below"
"hsj6a0kv","stackedarea","positive",1,"stackedareapositive",0.6,"below",0.423333333,"stackedareapositive-0.6-below"
"hsj6a0kv","stackedarea","positive",1,"stackedareapositive",0.6,"above",0.377916667,"stackedareapositive-0.6-above"
"hsj6a0kv","stackedarea","positive",1,"stackedareapositive",0.3,"above",0.268333333,"stackedareapositive-0.3-above"
"hs6ghagf","stackedbar","negative",-1,"stackedbarnegative",0.5,"above",0.115,"stackedbarnegative-0.5-above"
"hs6ghagf","stackedbar","negative",-1,"stackedbarnegative",0.8,"above",0.0475,"stackedbarnegative-0.8-above"
"hs6ghagf","stackedbar","negative",-1,"stackedbarnegative",0.5,"below",0.11,"stackedbarnegative-0.5-below"
"hs6ghagf","stackedbar","negative",-1,"stackedbarnegative",0.8,"below",0.035416667,"stackedbarnegative-0.8-below"
"hrjhykzo","scatterplot","negative",-1,"scatterplotnegative",0.4,"below",0.123333333,"scatterplotnegative-0.4-below"
"hrjhykzo","scatterplot","negative",-1,"scatterplotnegative",0.8,"below",0.043333333,"scatterplotnegative-0.8-below"
"hrjhykzo","scatterplot","negative",-1,"scatterplotnegative",0.8,"above",0.03,"scatterplotnegative-0.8-above"
"hrjhykzo","scatterplot","negative",-1,"scatterplotnegative",0.4,"above",0.048333333,"scatterplotnegative-0.4-above"
"hsi6parj","stackedline","positive",1,"stackedlinepositive",0.4,"below",0.633333333,"stackedlinepositive-0.4-below"
"hsi6parj","stackedline","positive",1,"stackedlinepositive",0.4,"above",0.185,"stackedlinepositive-0.4-above"
"hsi6parj","stackedline","positive",1,"stackedlinepositive",0.7,"below",0.37,"stackedlinepositive-0.7-below"
"hsi6parj","stackedline","positive",1,"stackedlinepositive",0.7,"above",0.290416667,"stackedlinepositive-0.7-above"
"hsl1lghr","donut","positive",1,"donutpositive",0.5,"below",0.398333333,"donutpositive-0.5-below"
"hsl1lghr","donut","positive",1,"donutpositive",0.5,"above",0.216666667,"donutpositive-0.5-above"
"hsl1lghr","donut","positive",1,"donutpositive",0.8,"below",0.53,"donutpositive-0.8-below"
"hsl1lghr","donut","positive",1,"donutpositive",0.8,"above",0.187083333,"donutpositive-0.8-above"
